"組織ID","組織コード","組織名","説明","コメント","無効","作成者","更新者","更新日時"
"10","100","無効組織","","","1","sdt-support","sdt-support","2024/11/06 水 07:55:57"
"9","99","株式会社三和サービス","","","","sdt-support","sdt-support","2024/08/07 水 10:03:54"
"8","98","三研(上海)商貿有限公司","","","","sdt-support","sdt-support","2024/08/07 水 10:03:54"
"7","7","業務グループ","","","","sdt-support","sdt-support","2024/08/07 水 10:03:54"
"6","6","コールセンター","","","","sdt-support","sdt-support","2024/08/07 水 10:03:54"
"5","5","営業推進グループ","","","","sdt-support","sdt-support","2024/08/07 水 10:03:54"
"4","4","営業3部","","","","sdt-support","sdt-support","2024/08/07 水 10:03:54"
"3","3","営業2部","","","","sdt-support","sdt-support","2024/08/07 水 10:03:54"
"2","2","営業1部","","","","sdt-support","sdt-support","2024/08/07 水 10:03:54"
"1","1","三和商研代表","","","","sdt-support","sdt-support","2024/08/07 水 10:03:54"
